timestamp,close_time,symbol,side,entry,exit_price,pnl,gross_rr,status
2026-06-13 23:17:57,2026-06-13 23:17:57,BTCUSDT,LONG,50000.0,50200.0,0.0,,SL
2026-06-13 23:17:59,2026-06-13 23:17:59,BTCUSDT,LONG,50000.0,50200.0,0.0,,SL
2026-06-13 23:18:01,2026-06-13 23:18:01,BTCUSDT,LONG,50000.0,50200.0,0.0,,SL
2026-06-13 23:18:02,2026-06-13 23:18:02,BTCUSDT,LONG,50000.0,50200.0,0.0,,SL
2026-06-13 23:18:03,2026-06-13 23:18:03,BTCUSDT,LONG,50000.0,50200.0,0.0,,SL
2026-06-13 23:18:05,2026-06-13 23:18:05,BTCUSDT,LONG,50000.0,50200.0,0.0,,SL
2026-06-13 23:18:06,2026-06-13 23:18:06,BTCUSDT,LONG,50000.0,50200.0,0.0,,SL
2026-06-13 23:18:07,2026-06-13 23:18:07,BTCUSDT,LONG,50000.0,50200.0,0.0,,SL
2026-06-13 23:18:11,2026-06-13 23:18:11,BTCUSDT,LONG,50000.0,50200.0,0.0,,SL
2026-06-13 23:18:11,2026-06-13 23:18:11,ETHUSDT,LONG,2000.0,50200.0,0.0,,TP
